What are your hours of operation?,We operate 24/7 for chat support.
How can I reset my password?,Click 'Forgot Password' on the login page and follow the instructions.
What payment methods do you accept?,"We accept credit/debit cards, UPI, and net banking."
How do I contact support?,Email support@example.com or use the in-app chat.
Where can I find my bookings?,Go to your dashboard and click on 'My Bookings'.
how are you,i am fine
where are you from?,i'm from ahmedabad
hii,hello! How can i help you?
what is your name?,i am your friendly chatbot.
how are you?,"i'm doing great,thanks for asking!"
